,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
448681,2015,1,1,4,HA,17,N389HA,LAS,HNL,145,145.0,0.0,16.0,201.0,370.0,385.0,361.0,2762,602.0,8.0,555,610.0,15.0,0,0,,0.0,0.0,15.0,0.0,0.0
448682,2015,1,1,4,HA,102,N492HA,HNL,ITO,500,452.0,-8.0,10.0,502.0,49.0,51.0,35.0,216,537.0,6.0,549,543.0,-6.0,0,0,,,,,,
448683,2015,1,1,4,HA,108,N476HA,HNL,KOA,502,501.0,-1.0,12.0,513.0,42.0,48.0,30.0,163,543.0,6.0,544,549.0,5.0,0,0,,,,,,
448684,2015,1,1,4,HA,206,N484HA,HNL,OGG,505,454.0,-11.0,10.0,504.0,36.0,36.0,20.0,100,524.0,6.0,541,530.0,-11.0,0,0,,,,,,
448685,2015,1,1,4,HA,103,N477HA,HNL,LIH,523,513.0,-10.0,7.0,520.0,37.0,35.0,21.0,102,541.0,7.0,600,548.0,-12.0,0,0,,,,,,
448686,2015,1,1,4,HA,218,N485HA,HNL,KOA,548,540.0,-8.0,10.0,550.0,42.0,44.0,27.0,163,617.0,7.0,630,624.0,-6.0,0,0,,,,,,
448687,2015,1,1,4,HA,202,N491HA,HNL,ITO,600,553.0,-7.0,12.0,605.0,50.0,53.0,36.0,216,641.0,5.0,650,646.0,-4.0,0,0,,,,,,
448688,2015,1,1,4,HA,113,N486HA,HNL,LIH,601,557.0,-4.0,10.0,607.0,37.0,39.0,23.0,102,630.0,6.0,638,636.0,-2.0,0,0,,,,,,
448689,2015,1,1,4,HA,286,N480HA,HNL,OGG,605,600.0,-5.0,12.0,612.0,36.0,40.0,22.0,100,634.0,6.0,641,640.0,-1.0,0,0,,,,,,
448690,2015,1,1,4,HA,205,N484HA,OGG,HNL,609,601.0,-8.0,8.0,609.0,32.0,36.0,23.0,100,632.0,5.0,641,637.0,-4.0,0,0,,,,,,
448691,2015,1,1,4,HA,107,N476HA,KOA,HNL,614,620.0,6.0,11.0,631.0,42.0,47.0,30.0,163,701.0,6.0,656,707.0,11.0,0,0,,,,,,
448692,2015,1,1,4,HA,101,N492HA,ITO,HNL,618,617.0,-1.0,7.0,624.0,49.0,51.0,39.0,216,703.0,5.0,707,708.0,1.0,0,0,,,,,,
448693,2015,1,1,4,HA,104,N477HA,LIH,HNL,628,621.0,-7.0,6.0,627.0,32.0,30.0,18.0,102,645.0,6.0,700,651.0,-9.0,0,0,,,,,,
448694,2015,1,1,4,HA,114,N493HA,HNL,OGG,632,627.0,-5.0,9.0,636.0,36.0,35.0,20.0,100,656.0,6.0,708,702.0,-6.0,0,0,,,,,,
448695,2015,1,1,4,HA,338,N481HA,HNL,KOA,647,639.0,-8.0,11.0,650.0,42.0,44.0,27.0,163,717.0,6.0,729,723.0,-6.0,0,0,,,,,,
